         4339127 function calls (4278794 primitive calls) in 1.230 seconds

   Ordered by: cumulative time
   List reduced from 76 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7088    0.004    0.000    0.007    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:449(_getencoder)
     7088    0.006    0.000    0.006    0.000 {method 'encode' of 'ImagingEncoder' objects}
    13493    0.002    0.000    0.006    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:637(_ensure_mutable)
    54655    0.005    0.000    0.005    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    64290    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    44899    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    79717    0.004    0.000    0.004    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:567(mode)
     7652    0.004    0.000    0.004    0.000 {built-in method PIL._imaging.fill}
    42588    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     3549    0.001    0.000    0.003    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1490(_shouldIMove)
     7652    0.002    0.000    0.003    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:3034(_check_size)
    42588    0.003    0.000    0.003    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/utility.py:548(__getitem__)
    42588    0.003    0.000    0.003    0.000 {built-in method time.monotonic}
    24883    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    20406    0.002    0.000    0.002    0.000 {built-in method builtins.round}




==== Time Spent ====
         4339127 function calls (4278794 primitive calls) in 1.230 seconds

   Ordered by: internal time
   List reduced from 76 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42588    0.250    0.000    0.250    0.000 {built-in method builtins.dir}
   571389    0.157    0.000    0.274    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/utility.py:1349(eval)
    42588    0.108    0.000    0.411    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:246(_evalAll)
