         2644282 function calls (2602705 primitive calls) in 15.040 seconds

   Ordered by: cumulative time
   List reduced from 3068 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.053    0.053 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/sqlalchemy/engine/interfaces.py:1(<module>)
      429    0.000    0.000    0.052    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/ImageTk.py:62(_pyimagingtkcall)
      660    0.001    0.000    0.045    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py:87(_run)
        1    0.000    0.000    0.044    0.044 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/sqlalchemy/sql/__init__.py:1(<module>)
      660    0.002    0.000    0.043    0.000 {method 'run' of '_contextvars.Context' objects}
1127/1095    0.010    0.000    0.043    0.000 {built-in method builtins.__build_class__}
      429    0.002    0.000    0.043    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:2222(resize)
      156    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.041    0.041 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/sqlalchemy/ext/asyncio/__init__.py:1(<module>)




==== Time Spent ====
         2644282 function calls (2602705 primitive calls) in 15.040 seconds

   Ordered by: internal time
   List reduced from 3068 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   8994/1   10.156    0.001    0.000    0.000 {built-in method time.sleep}
     2581    3.529    0.001    3.529    0.001 {method 'call' of '_tkinter.tkapp' objects}
      538    0.169    0.000    0.169    0.000 {method 'control' of 'select.kqueue' objects}
        1    0.126    0.126    0.126    0.126 {built-in method _tkinter.create}
    20251    0.121    0.000    0.121    0.000 {built-in method builtins.dir}
   271487    0.075    0.000    0.131    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/utility.py:1349(eval)
     8993    0.056    0.000    3.767    0.000 /Users/rritchey/Development/KegDisplay/KegDisplay/renderer.py:436(display_next_frame)
    20236    0.052    0.000    0.197    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:246(_evalAll)
   625709    0.040    0.000    0.061    0.000 {built-in method builtins.hasattr}
      429    0.040    0.000    0.040    0.000 {method 'resize' of 'ImagingCore' objects}
    20228    0.038    0.000    0.165    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:277(_fixColors)
    66404    0.029    0.000    0.036    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:287(__getattr__)
      537    0.028    0.000   14.739    0.027 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:540(select)
20216/1698    0.025    0.000    0.557    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:578(render)
    10627    0.025    0.000    0.025    0.000 {method 'convert' of 'ImagingCore' objects}
      228    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
   271487    0.024    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/collections/__init__.py:1003(__init__)
6736/1690    0.018    0.000    0.509    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:113(_renderWidgets)
